epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,11.9422,0.94156,1.53472,1.04018,0.00333,1,0.01042,0.00791,0.81762,3.34005,0.86185,0.000737966,0.000737966,0.000737966
45,12.1225,0.79786,1.41277,0.88161,0.00333,1,0.00975,0.00741,0.86878,3.32525,0.91649,0.000752224,0.000752224,0.000752224
46,12.2918,0.69819,1.36805,0.89453,0.00333,1,0.00975,0.00741,0.86878,3.32525,0.91649,0.00076635,0.00076635,0.00076635
47,12.4718,0.83308,1.31438,0.91207,0.00333,1,0.00934,0.00682,0.88708,3.36406,0.92458,0.000780344,0.000780344,0.000780344
48,12.6422,0.80109,1.48647,0.89727,0.00333,1,0.00934,0.00682,0.88708,3.36406,0.92458,0.000794206,0.000794206,0.000794206
49,12.8229,0.99956,1.1127,0.92711,0.00333,1,0.0099,0.00723,0.97584,3.34959,0.95328,0.000807936,0.000807936,0.000807936
50,13.068,0.76264,1.81034,0.89672,0.00333,1,0.0099,0.00723,0.97584,3.34959,0.95328,0.000821534,0.000821534,0.000821534
51,13.2462,0.73713,1.47665,0.91673,0.00333,1,0.00921,0.007,0.95859,3.4038,0.97217,0.000835,0.000835,0.000835
52,13.4184,1.00116,1.58904,0.93829,0.00333,1,0.00921,0.007,0.95859,3.4038,0.97217,0.000848334,0.000848334,0.000848334
53,13.5913,0.91727,1.4319,0.98692,0.00333,1,0.00921,0.007,0.95859,3.4038,0.97217,0.000861536,0.000861536,0.000861536
54,13.7719,0.78476,1.41765,0.88175,0.00333,1,0.00861,0.00716,0.8654,3.53135,0.90005,0.000874606,0.000874606,0.000874606
55,13.9442,0.81721,1.38226,0.91859,0.00333,1,0.00861,0.00716,0.8654,3.53135,0.90005,0.000887544,0.000887544,0.000887544
56,14.1157,0.7626,1.31939,0.90944,0.00333,1,0.00861,0.00716,0.8654,3.53135,0.90005,0.00090035,0.00090035,0.00090035
57,14.2987,0.86484,1.48514,0.90046,0.00333,1,0.00718,0.00619,0.76728,3.37344,0.81288,0.000913024,0.000913024,0.000913024
58,14.4703,0.73965,1.6415,0.90363,0.00333,1,0.00718,0.00619,0.76728,3.37344,0.81288,0.000925566,0.000925566,0.000925566
59,14.6464,0.71917,1.15705,0.92399,0.00333,1,0.00718,0.00619,0.76728,3.37344,0.81288,0.000937976,0.000937976,0.000937976
60,14.9027,0.79453,1.29558,0.94327,0.00333,1,0.00618,0.00556,0.67864,3.43629,0.78332,0.000950254,0.000950254,0.000950254
61,15.0766,0.63574,1.40921,0.8995,0.00333,1,0.00618,0.00556,0.67864,3.43629,0.78332,0.0009624,0.0009624,0.0009624
62,15.2492,0.80457,1.23379,0.91428,0.00333,1,0.00618,0.00556,0.67864,3.43629,0.78332,0.000974414,0.000974414,0.000974414
63,15.4365,0.77979,1.20545,0.90164,0.00333,1,0.00703,0.00588,0.71035,3.39706,0.81241,0.000986296,0.000986296,0.000986296
64,15.6123,0.58603,1.32551,0.93534,0.00333,1,0.00703,0.00588,0.71035,3.39706,0.81241,0.000998046,0.000998046,0.000998046
65,15.7848,0.65455,1.49796,0.86216,0.00333,1,0.00703,0.00588,0.71035,3.39706,0.81241,0.00100966,0.00100966,0.00100966
66,15.9659,0.68435,1.25658,0.92286,0.00333,1,0.05955,0.05277,0.89589,3.4894,0.86287,0.00102115,0.00102115,0.00102115
67,16.1466,0.70223,1.19772,0.87822,0.00333,1,0.05955,0.05277,0.89589,3.4894,0.86287,0.0010325,0.0010325,0.0010325
68,16.3296,0.74961,1.13011,0.9013,0.00333,1,0.05955,0.05277,0.89589,3.4894,0.86287,0.00104373,0.00104373,0.00104373
69,16.5917,0.67766,1.20888,0.87327,0.32896,0.49345,0.33167,0.24871,1.02387,3.349,0.91016,0.00105482,0.00105482,0.00105482
70,16.7702,0.81178,1.12997,0.90392,0.32896,0.49345,0.33167,0.24871,1.02387,3.349,0.91016,0.00106577,0.00106577,0.00106577
71,16.9474,0.7507,1.31116,0.8319,0.32896,0.49345,0.33167,0.24871,1.02387,3.349,0.91016,0.0010766,0.0010766,0.0010766
72,17.1334,0.669,1.12887,0.87524,0.00333,1,0.66333,0.46433,1.08393,3.19737,0.9665,0.00108729,0.00108729,0.00108729
73,17.3174,0.70577,1.5586,0.91959,0.00333,1,0.66333,0.46433,1.08393,3.19737,0.9665,0.00109786,0.00109786,0.00109786
74,17.4977,0.73101,1.18821,0.87984,0.00333,1,0.66333,0.46433,1.08393,3.19737,0.9665,0.00110829,0.00110829,0.00110829
75,17.687,0.76009,1.45437,0.91451,0.00333,1,0.995,0.72129,0.97722,3.11551,0.93684,0.00111858,0.00111858,0.00111858
76,17.8645,0.72652,1.25403,0.85962,0.00333,1,0.995,0.72129,0.97722,3.11551,0.93684,0.00112875,0.00112875,0.00112875
77,18.0425,0.85315,1.3558,0.97046,0.00333,1,0.995,0.72129,0.97722,3.11551,0.93684,0.00113878,0.00113878,0.00113878
78,18.2341,0.80897,1.08189,0.92194,0.00333,1,0.995,0.74604,0.95347,3.06213,0.90403,0.00114869,0.00114869,0.00114869
79,18.498,0.68135,1.1496,0.94967,0.00333,1,0.995,0.74604,0.95347,3.06213,0.90403,0.00115846,0.00115846,0.00115846
80,18.674,0.74457,1.21566,0.84524,0.00333,1,0.995,0.74604,0.95347,3.06213,0.90403,0.00116809,0.00116809,0.00116809
81,18.8577,0.83532,1.23002,0.91721,0.00333,1,0.995,0.77088,0.94539,2.94824,0.91046,0.0011776,0.0011776,0.0011776
82,19.0378,0.76801,0.98895,0.90568,0.00333,1,0.995,0.77088,0.94539,2.94824,0.91046,0.00118697,0.00118697,0.00118697
83,19.2161,0.7727,1.17622,1.01149,0.00333,1,0.995,0.77088,0.94539,2.94824,0.91046,0.00119622,0.00119622,0.00119622
84,19.4053,0.77151,1.35035,0.92799,0.40598,1,0.82833,0.61292,0.8902,2.8414,0.86083,0.00120533,0.00120533,0.00120533
85,19.5774,0.78699,1.26441,0.96931,0.40598,1,0.82833,0.61292,0.8902,2.8414,0.86083,0.0012143,0.0012143,0.0012143
86,19.7542,0.76869,1.03666,0.87547,0.40598,1,0.82833,0.61292,0.8902,2.8414,0.86083,0.00122315,0.00122315,0.00122315
